"age","a","b","c","d","e","f"
0,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
1,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
2,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
3,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
4,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
5,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
6,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
7,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
8,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
9,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
10,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
11,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
12,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
13,0.0,3500.0,3500.0,3500.0,3500.0,3500.0
14,0.0,3500.0,5000.0,7500.0,7500.0,7500.0
15,0.0,3500.0,5000.0,7500.0,7500.0,7500.0
16,0.0,3500.0,5000.0,7500.0,7500.0,7500.0
17,0.0,3500.0,5000.0,7500.0,7500.0,7500.0
18,0.0,3500.0,5000.0,7500.0,7500.0,7500.0
19,0.0,3500.0,5000.0,7500.0,7500.0,7500.0
20,0.0,3500.0,5000.0,7500.0,7500.0,7500.0
21,0.0,3500.0,5000.0,7500.0,7500.0,7500.0
