ANB;Gender;SEC;OCC_CLASS;Incidence Rate
0;M;1;1;0.0026536
1;M;1;1;0.00122098
2;M;1;1;0.0007246
3;M;1;1;0.00055691
4;M;1;1;0.00060512
5;M;1;1;0.00077289
6;M;1;1;0.00100977
7;M;1;1;0.00120631
8;M;1;1;0.00115295
9;M;1;1;0.00087452
10;M;1;1;0.00057472
11;M;1;1;0.00038294
12;M;1;1;0.00033242
13;M;1;1;0.00029743
14;M;1;1;0.00028202
15;M;1;1;0.00032696
16;M;1;1;0.00038759
17;M;1;1;0.00045762
18;M;1;1;0.00054744
19;M;1;1;0.0006595
20;M;1;1;0.0007664
21;M;1;1;0.00084571
22;M;1;1;0.00107005
23;M;1;1;0.0012944
24;M;1;1;0.00151874
25;M;1;1;0.00174308
26;M;1;1;0.00196743
27;M;1;1;0.00254314
28;M;1;1;0.00311886
29;M;1;1;0.00369458
30;M;1;1;0.0042703
31;M;1;1;0.00484602
32;M;1;1;0.00530257
33;M;1;1;0.00575913
34;M;1;1;0.00621568
35;M;1;1;0.00667224
36;M;1;1;0.00712879
37;M;1;1;0.00724412
38;M;1;1;0.00735945
39;M;1;1;0.00747479
40;M;1;1;0.00759012
41;M;1;1;0.00770545
42;M;1;1;0.00774262
43;M;1;1;0.00777979
44;M;1;1;0.00781696
45;M;1;1;0.00785413
46;M;1;1;0.0078913
47;M;1;1;0.00801256
48;M;1;1;0.00813381
49;M;1;1;0.00825506
50;M;1;1;0.00837632
51;M;1;1;0.00849757
52;M;1;1;0.00864283
53;M;1;1;0.00878808
54;M;1;1;0.00893334
55;M;1;1;0.0090786
56;M;1;1;0.00922385
57;M;1;1;0.00920242
58;M;1;1;0.00918099
59;M;1;1;0.00915955
60;M;1;1;0.00913812
61;M;1;1;0.00911668
62;M;1;1;0.00968831
63;M;1;1;0.01025993
64;M;1;1;0.01083156
65;M;1;1;0.01140318
66;M;1;1;0.0119748
67;M;1;1;0.01313521
68;M;1;1;0.01429562
69;M;1;1;0.01545602
70;M;1;1;0.01661643
71;M;1;1;0.01777683
72;M;1;1;0.01969106
73;M;1;1;0.02160529
74;M;1;1;0.02351952
75;M;1;1;0.02543374
76;M;1;1;0.02734797
77;M;1;1;0.03031219
78;M;1;1;0.03327641
79;M;1;1;0.03624063
80;M;1;1;0.03920485
81;M;1;1;0.04216906
82;M;1;1;0.04628294
83;M;1;1;0.05039682
84;M;1;1;0.0545107
85;M;1;1;0.05862458
86;M;1;1;0.06273846
87;M;1;1;0.06714103
88;M;1;1;0.07185253
89;M;1;1;0.07689466
90;M;1;1;0.08229061
91;M;1;1;0.08806521
92;M;1;1;0.09424504
93;M;1;1;0.10085852
94;M;1;1;0.1079361
95;M;1;1;0.11551033
96;M;1;1;0.12361606
97;M;1;1;0.13229061
98;M;1;1;0.14157388
99;M;1;1;0.15150858
100;M;1;1;0.16214043
101;M;1;1;0.17351836
102;M;1;1;0.18569471
103;M;1;1;0.19872552
104;M;1;1;0.21267074
105;M;1;1;0.225
106;M;1;1;0.225
107;M;1;1;0.225
108;M;1;1;0.225
109;M;1;1;0.225
110;M;1;1;0.225
111;M;1;1;0.225
112;M;1;1;0.225
113;M;1;1;0.225
114;M;1;1;0.225
115;M;1;1;0.225
116;M;1;1;0.225
117;M;1;1;0.225
118;M;1;1;0.225
119;M;1;1;0.225
120;M;1;1;0.28125
0;F;1;1;0.0026536
1;F;1;1;0.00122098
2;F;1;1;0.0007246
3;F;1;1;0.00055691
4;F;1;1;0.00060512
5;F;1;1;0.00077289
6;F;1;1;0.00100977
7;F;1;1;0.00120631
8;F;1;1;0.00115295
9;F;1;1;0.00087452
10;F;1;1;0.00057472
11;F;1;1;0.00038294
