policy_number;spcode;prod_code;init_pol;commencement_year;ifrs17_group;age_at_entry;gender;mm_age_at_entry;mm_gender;sum_assured;annual_premium;premium_status;waiting_period;duration_if_m;sa_escalation;prem_escalation;prem_freq;temp_pw_ind;temp_pw_mth_exit;distribution;tax_class;education;plan;continuity_or_premium_waiver_option;prem_waiver_ind;comm_type;cashback_ind;repatriation;tombstone;cow_benefit;educator_option;paidup_option;paidup_ind;member_type;term;food;cashback_option;Weighting
10002;1;FUN_01;1;0;NULL;54;F;54;F;10000;1140;0;6;81;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;66;0;0;0.01
10002;1;FUN_01;1;0;NULL;61;M;54;F;10000;0;0;6;81;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;SP;59;0;0;0.01
10009;1;FUN_01;1;0;NULL;63;M;63;M;10000;1140;0;6;9;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;57;0;0;0.01
10010;1;FUN_01;1;0;NULL;33;M;33;M;15000;1560;0;6;78;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;MM;87;0;0;0.01
10010;1;FUN_01;1;0;NULL;5;M;33;M;15000;0;0;6;78;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;SP;115;0;0;0.01
10010;1;FUN_01;1;0;NULL;5;M;33;M;7500;0;0;6;78;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;CH;115;0;0;0.01
10011;1;FUN_01;1;0;NULL;44;M;44;M;15000;2280;0;6;79;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;MM;76;0;0;0.01
10011;1;FUN_01;1;0;NULL;37;M;44;M;15000;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;SP;83;0;0;0.01
10011;1;FUN_01;1;0;NULL;16;M;44;M;10000;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;CH;104;0;0;0.01
10011;1;FUN_01;1;0;NULL;12;M;44;M;10000;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;CH;108;0;0;0.01
10011;1;FUN_01;1;0;NULL;71;M;44;M;10000;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;PAR;49;0;0;0.01
10012;1;FUN_01;1;0;NULL;50;M;50;M;10000;1140;0;6;81;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;70;0;0;0.01
10012;1;FUN_01;1;0;NULL;16;M;50;M;7500;0;0;6;81;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;CH;104;0;0;0.01
10022;1;FUN_01;1;0;NULL;42;M;42;M;15000;2280;0;6;80;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;MM;78;0;0;0.01
10022;1;FUN_01;1;0;NULL;50;M;42;M;15000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;SP;70;0;0;0.01
10022;1;FUN_01;1;0;NULL;9;M;42;M;10000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;CH;111;0;0;0.01
10022;1;FUN_01;1;0;NULL;8;M;42;M;10000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;CH;112;0;0;0.01
10022;1;FUN_01;1;0;NULL;3;M;42;M;7500;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;CH;117;0;0;0.01
