"yield_curve_code";"proj_time";"month";"nominal_rate";"inflation";"basis"
"YC202112";1;12;0.06690405;0.05634064;"IFRS"
"YC202112";2;12;0.06690405;0.05634064;"IFRS"
"YC202112";3;12;0.06690405;0.05634064;"IFRS"
"YC202112";4;12;0.07708676;0.06642253;"IFRS"
"YC202112";5;12;0.07708676;0.06642253;"IFRS"
"YC202112";6;12;0.07708676;0.06642253;"IFRS"
"YC202112";7;12;0.07719017;0.06652492;"IFRS"
"YC202112";8;12;0.07719017;0.06652492;"IFRS"
"YC202112";9;12;0.07719017;0.06652492;"IFRS"
"YC202112";10;12;0.07810391;0.06742962;"IFRS"
"YC202112";11;12;0.07810391;0.06742962;"IFRS"
"YC202112";12;12;0.07810391;0.06742962;"IFRS"
"YC202112";13;12;0.07628747;0.06563116;"IFRS"
"YC202112";14;12;0.07628747;0.06563116;"IFRS"
"YC202112";15;12;0.07628747;0.06563116;"IFRS"
"YC202112";16;12;0.07466655;0.06402628;"IFRS"
"YC202112";17;12;0.07466655;0.06402628;"IFRS"
"YC202112";18;12;0.07466655;0.06402628;"IFRS"
"YC202112";19;12;0.07360816;0.06297838;"IFRS"
"YC202112";20;12;0.07360816;0.06297838;"IFRS"
"YC202112";21;12;0.07360816;0.06297838;"IFRS"
"YC202112";22;12;0.07281475;0.06219282;"IFRS"
"YC202112";23;12;0.07281475;0.06219282;"IFRS"
"YC202112";24;12;0.07281475;0.06219282;"IFRS"
"YC202112";25;12;0.07273171;0.06211061;"IFRS"
"YC202112";26;12;0.07273171;0.06211061;"IFRS"
"YC202112";27;12;0.07273171;0.06211061;"IFRS"
"YC202112";28;12;0.07298664;0.06236301;"IFRS"
"YC202112";29;12;0.07298664;0.06236301;"IFRS"
"YC202112";30;12;0.07298664;0.06236301;"IFRS"
"YC202112";31;12;0.07363046;0.06300046;"IFRS"
"YC202112";32;12;0.07363046;0.06300046;"IFRS"
"YC202112";33;12;0.07363046;0.06300046;"IFRS"
"YC202112";34;12;0.07422583;0.06358993;"IFRS"
"YC202112";35;12;0.07422583;0.06358993;"IFRS"
"YC202112";36;12;0.07422583;0.06358993;"IFRS"
"YC202112";37;12;0.07492878;0.06428593;"IFRS"
"YC202112";38;12;0.07492878;0.06428593;"IFRS"
"YC202112";39;12;0.07492878;0.06428593;"IFRS"
"YC202112";40;12;0.07542827;0.06478047;"IFRS"
"YC202112";41;12;0.07542827;0.06478047;"IFRS"
"YC202112";42;12;0.07542827;0.06478047;"IFRS"
"YC202112";43;12;0.07595094;0.06529796;"IFRS"
"YC202112";44;12;0.07595094;0.06529796;"IFRS"
"YC202112";45;12;0.07595094;0.06529796;"IFRS"
"YC202112";46;12;0.07634541;0.06568853;"IFRS"
"YC202112";47;12;0.07634541;0.06568853;"IFRS"
"YC202112";48;12;0.07634541;0.06568853;"IFRS"
"YC202112";49;12;0.07681657;0.06615502;"IFRS"
"YC202112";50;12;0.07681657;0.06615502;"IFRS"
"YC202112";51;12;0.07681657;0.06615502;"IFRS"
"YC202112";52;12;0.07719689;0.06653158;"IFRS"
"YC202112";53;12;0.07719689;0.06653158;"IFRS"
"YC202112";54;12;0.07719689;0.06653158;"IFRS"
"YC202112";55;12;0.07766357;0.06699363;"IFRS"
"YC202112";56;12;0.07766357;0.06699363;"IFRS"
"YC202112";57;12;0.07766357;0.06699363;"IFRS"
"YC202112";58;12;0.07806459;0.06739069;"IFRS"
"YC202112";59;12;0.07806459;0.06739069;"IFRS"
"YC202112";60;12;0.07806459;0.06739069;"IFRS"
"YC202112";61;12;0.07855725;0.06787847;"IFRS"
"YC202112";62;12;0.07855725;0.06787847;"IFRS"
"YC202112";63;12;0.07855725;0.06787847;"IFRS"
"YC202112";64;12;0.07899783;0.06831468;"IFRS"
"YC202112";65;12;0.07899783;0.06831468;"IFRS"
"YC202112";66;12;0.07899783;0.06831468;"IFRS"
"YC202112";67;12;0.07951694;0.06882865;"IFRS"
"YC202112";68;12;0.07951694;0.06882865;"IFRS"
"YC202112";69;12;0.07951694;0.06882865;"IFRS"
"YC202112";70;12;0.0799752;0.06928237;"IFRS"
"YC202112";71;12;0.0799752;0.06928237;"IFRS"
"YC202112";72;12;0.0799752;0.06928237;"IFRS"
"YC202112";73;12;0.08050038;0.06980235;"IFRS"
"YC202112";74;12;0.08050038;0.06980235;"IFRS"
"YC202112";75;12;0.08050038;0.06980235;"IFRS"
"YC202112";76;12;0.08096451;0.07026189;"IFRS"
"YC202112";77;12;0.08096451;0.07026189;"IFRS"
"YC202112";78;12;0.08096451;0.07026189;"IFRS"
"YC202112";79;12;0.08148918;0.07078137;"IFRS"
"YC202112";80;12;0.08148918;0.07078137;"IFRS"
"YC202112";81;12;0.08148918;0.07078137;"IFRS"
"YC202112";82;12;0.08195276;0.07124035;"IFRS"
"YC202112";83;12;0.08195276;0.07124035;"IFRS"
"YC202112";84;12;0.08195276;0.07124035;"IFRS"
"YC202112";85;12;0.08246884;0.07175133;"IFRS"
"YC202112";86;12;0.08246884;0.07175133;"IFRS"
"YC202112";87;12;0.08246884;0.07175133;"IFRS"
"YC202112";88;12;0.08292739;0.07220533;"IFRS"
"YC202112";89;12;0.08292739;0.07220533;"IFRS"
"YC202112";90;12;0.08292739;0.07220533;"IFRS"
"YC202112";91;12;0.08343323;0.07270617;"IFRS"
"YC202112";92;12;0.08343323;0.07270617;"IFRS"
"YC202112";93;12;0.08343323;0.07270617;"IFRS"
"YC202112";94;12;0.0838834;0.07315188;"IFRS"
"YC202112";95;12;0.0838834;0.07315188;"IFRS"
"YC202112";96;12;0.0838834;0.07315188;"IFRS"
"YC202112";97;12;0.08437647;0.07364007;"IFRS"
"YC202112";98;12;0.08437647;0.07364007;"IFRS"
"YC202112";99;12;0.08437647;0.07364007;"IFRS"
"YC202112";100;12;0.08481585;0.0740751;"IFRS"
"YC202112";101;12;0.08481585;0.0740751;"IFRS"
"YC202112";102;12;0.08481585;0.0740751;"IFRS"
"YC202112";103;12;0.08529434;0.07454885;"IFRS"
"YC202112";104;12;0.08529434;0.07454885;"IFRS"
"YC202112";105;12;0.08529434;0.07454885;"IFRS"
"YC202112";106;12;0.08572105;0.07497134;"IFRS"
"YC202112";107;12;0.08572105;0.07497134;"IFRS"
"YC202112";108;12;0.08572105;0.07497134;"IFRS"
"YC202112";109;12;0.08618471;0.07543041;"IFRS"
"YC202112";110;12;0.08618471;0.07543041;"IFRS"
"YC202112";111;12;0.08618471;0.07543041;"IFRS"
"YC202112";112;12;0.08663529;0.07587653;"IFRS"
"YC202112";113;12;0.08663529;0.07587653;"IFRS"
"YC202112";114;12;0.08663529;0.07587653;"IFRS"
"YC202112";115;12;0.08716665;0.07640262;"IFRS"
"YC202112";116;12;0.08716665;0.07640262;"IFRS"
"YC202112";117;12;0.08716665;0.07640262;"IFRS"
"YC202112";118;12;0.08767532;0.07690625;"IFRS"
"YC202112";119;12;0.08767532;0.07690625;"IFRS"
"YC202112";120;12;0.08767532;0.07690625;"IFRS"
"YC202112";121;12;0.08822738;0.07745285;"IFRS"
"YC202112";122;12;0.08822738;0.07745285;"IFRS"
"YC202112";123;12;0.08822738;0.07745285;"IFRS"
"YC202112";124;12;0.08872656;0.07794709;"IFRS"
"YC202112";125;12;0.08872656;0.07794709;"IFRS"
"YC202112";126;12;0.08872656;0.07794709;"IFRS"
"YC202112";127;12;0.08923999;0.07845543;"IFRS"
"YC202112";128;12;0.08923999;0.07845543;"IFRS"
"YC202112";129;12;0.08923999;0.07845543;"IFRS"
"YC202112";130;12;0.08968037;0.07889145;"IFRS"
"YC202112";131;12;0.08968037;0.07889145;"IFRS"
"YC202112";132;12;0.08968037;0.07889145;"IFRS"
"YC202112";133;12;0.09011233;0.07931914;"IFRS"
"YC202112";134;12;0.09011233;0.07931914;"IFRS"
"YC202112";135;12;0.09011233;0.07931914;"IFRS"
"YC202112";136;12;0.09045837;0.07966175;"IFRS"
"YC202112";137;12;0.09045837;0.07966175;"IFRS"
"YC202112";138;12;0.09045837;0.07966175;"IFRS"
"YC202112";139;12;0.0907779;0.07997812;"IFRS"
"YC202112";140;12;0.0907779;0.07997812;"IFRS"
"YC202112";141;12;0.0907779;0.07997812;"IFRS"
"YC202112";142;12;0.09100417;0.08020215;"IFRS"
"YC202112";143;12;0.09100417;0.08020215;"IFRS"
