policy_number,spcode,product_code,initial_policy,commencement_year,commencement_month,ifrs17_group,age_at_entry,gender,main_member_age_at_entry,main_member_gender,sum_assured,annual_premium,premium_status,premium_pattern,waiting_period,duration_in_force_months,sum_assured_escalation,premium_escalation,interest_percentage,income,education_level,socio_economic_class,occupational_class,smoker_status,select_period,current_loan,premium_frequency,premium_rate,temporary_premium_waiver_indicator,temporary_premium_waiver_month_exit,distribution,tax_class,education,plan,continuity_or_premium_waiver_option,premium_waiver_indicator,commission_type,cashback_indicator,funeral_service_indicator,repatriation,tombstone,cow_benefit,educator_option,paidup_option,paidup_indicator,member_type,term,original_term,outstanding_term_months,food,cashback_option,premium_holiday_used,disability_definition,deferred_period
10047,1,FUN_01,1,2021,12,1,53,F,53,F,25000,3828,0,1,6,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,C,0,0,1,1,0,0,0,0,0,0,0,MM,792,0,0,0,1,0,0,0
10047,1,FUN_01,1,2021,12,1,75,F,53,F,10000,0,0,1,9,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,C,0,0,1,0,0,0,0,0,0,0,0,PAR,528,0,0,0,0,0,0,0
10057,1,FUN_01,1,2021,12,1,66,F,66,F,25000,1740,0,1,6,10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,C,0,0,1,0,0,0,0,0,0,0,0,MM,636,0,0,0,0,0,0,0
10057,1,FUN_01,1,2021,12,1,69,M,66,F,25000,0,0,1,6,10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,C,0,0,1,0,0,0,0,0,0,0,0,SP,600,0,0,0,0,0,0,0
10075,1,FUN_01,1,2021,12,1,42,F,42,F,50000,4044,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,MM,936,0,0,0,0,0,0,0
10075,1,FUN_01,1,2021,12,1,30,F,42,F,50000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,SP,1080,0,0,0,0,0,0,0
10075,1,FUN_01,1,2021,12,1,7,F,42,F,15000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,216,0,0,0,0,0,0,0
10075,1,FUN_01,1,2021,12,1,5,M,42,F,10000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,240,0,0,0,0,0,0,0
10075,1,FUN_01,1,2021,12,1,73,M,42,F,15000,0,0,1,9,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,PAR,564,0,0,0,0,0,0,0
10076,1,FUN_01,1,2021,12,1,35,F,35,F,50000,3060,0,1,6,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,MM,1008,0,0,0,0,0,0,0
10076,1,FUN_01,1,2021,12,1,14,M,35,F,25000,0,0,1,6,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,132,0,0,0,0,0,0,0
10076,1,FUN_01,1,2021,12,1,7,M,35,F,15000,0,0,1,6,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,204,0,0,0,0,0,0,0
10076,1,FUN_01,1,2021,12,1,18,M,35,F,10000,0,0,1,6,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,300,0,0,0,0,0,0,0
10076,1,FUN_01,1,2021,12,1,70,F,35,F,10000,0,0,1,6,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,PAR,600,0,0,0,0,0,0,0
10089,1,FUN_01,1,2021,12,1,57,F,57,F,50000,4104,0,1,6,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,MM,756,0,0,0,0,0,0,0
10089,1,FUN_01,1,2021,12,1,61,M,57,F,50000,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,SP,708,0,0,0,0,0,0,0
10089,1,FUN_01,1,2021,12,1,86,F,57,F,10000,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,0,0,0,0,PAR,408,0,0,0,0,0,0,0
10092,1,FUN_01,1,2021,12,1,71,F,71,F,12500,816,0,1,6,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,B,0,0,1,0,0,0,0,0,0,0,0,MM,576,0,0,0,0,0,0,0
10107,1,FUN_01,1,2021,12,1,38,M,38,M,50000,4032,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,1,0,0,0,1,0,0,0,MM,984,0,0,0,1,0,0,0
10107,1,FUN_01,1,2021,12,1,29,F,38,M,50000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,1,0,0,0,SP,1092,0,0,0,0,0,0,0
10107,1,FUN_01,1,2021,12,1,8,M,38,M,15000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,1,0,0,0,CH,204,0,0,0,0,0,0,0
10180,1,FUN_01,1,2021,12,1,49,F,49,F,50000,3792,0,1,6,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,0,0,0,0,MM,840,0,0,0,0,0,0,0
10180,1,FUN_01,1,2021,12,1,48,M,49,F,50000,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,0,0,0,0,SP,852,0,0,0,0,0,0,0
10180,1,FUN_01,1,2021,12,1,20,F,49,F,25000,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,48,0,0,0,0,0,0,0
10180,1,FUN_01,1,2021,12,1,10,M,49,F,15000,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,180,0,0,0,0,0,0,0
10180,1,FUN_01,1,2021,12,1,78,M,49,F,10000,0,0,1,9,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,0,0,0,0,PAR,492,0,0,0,0,0,0,0
